#: table_doi: 10.17182/hepdata.89225.v1/t7;;;;;;;;;;;;;;;;;;;;;;;;;;;
#: name: Table 7;;;;;;;;;;;;;;;;;;;;;;;;;;;
#: description: Measured fiducial cross-section of $WW\rightarrow e\mu$ production for the observable $m_{e\mu}$.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
#: data_file: data7.yaml;;;;;;;;;;;;;;;;;;;;;;;;;;;
#: keyword reactions: P P --> W+ W-;;;;;;;;;;;;;;;;;;;;;;;;;;;
#: keyword observables: DSIG/DX;;;;;;;;;;;;;;;;;;;;;;;;;;;
#: keyword phrases: Differential Cross Section | Proton-Proton Scattering | W pair Production;;;;;;;;;;;;;;;;;;;;;;;;;;;
#: keyword cmenergies: 13000.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
#: Cross section;;;WW production;;;;;;;;;;;;;;;;;;;;;;;;
#: ABS(ETARAP(LEPTON));;;< 2.5;;;;;;;;;;;;;;;;;;;;;;;;
#: PT(LEPTON) [GEV];;;> 27;;;;;;;;;;;;;;;;;;;;;;;;
#: M(ELECTRON;MUON) [GEV];;;> 55;;;;;;;;;;;;;;;;;;;;;;;
#: PT(ELECTRON;MUON) [GEV];;;> 30;;;;;;;;;;;;;;;;;;;;;;;
#: ETMISS [GEV];;;> 20;;;;;;;;;;;;;;;;;;;;;;;;
#: ABS(ETARAP(JET));;;< 4.5;;;;;;;;;;;;;;;;;;;;;;;;
#: PT(JET) [GEV];;;> 35;;;;;;;;;;;;;;;;;;;;;;;;
#: N(JET);;;0;;;;;;;;;;;;;;;;;;;;;;;;
#: RE;;;P P --> W+ W-;;;;;;;;;;;;;;;;;;;;;;;;
#: SQRT(S) [GEV];;;13000.0;;;;;;;;;;;;;;;;;;;;;;;;
$m_{e\mu}\text{ [GeV]}$;$m_{e\mu}\text{ [GeV]}$ LOW;$m_{e\mu}\text{ [GeV]}$ HIGH;$d\sigma/dm_{e\mu}\text{ [fb/GeV]}$;stat +;stat -;JetRes +;JetRes -;JetPileup +;JetPileup -;Bkgtopsinglet +;Bkgtopsinglet -;JetScaleOther +;JetScaleOther -;Pileup +;Pileup -;StatsBkgMC +;StatsBkgMC -;FTag +;FTag -;ElMuMETUnfTheoLumi +;ElMuMETUnfTheoLumi -;JetFlav +;JetFlav -;BkgOther +;BkgOther -;BkgWjets +;BkgWjets -
65.0;55.0;75.0;3.453;108;-108;35;-35;46;-46;86;-86;56;-56;62;-62;49;-49;71;-71;125;-125;77;-77;33;-33;0.04;-0.04
80.0;75.0;85.0;3.767;137;-137;16;-16;65;-65;77;-77;71;-71;43;-43;78;-78;76;-76;101;-101;89;-89;49;-49;68;-68
90.0;85.0;95.0;3.538;131;-131;22;-22;57;-57;124;-124;54;-54;36;-36;69;-69;89;-89;98;-98;71;-71;34;-34;0.07;-0.07
102.5;95.0;110.0;3.094;104;-104;7;-7;47;-47;64;-64;54;-54;0.06;-0.06;0.05;-0.05;88;-88;85;-85;0.06;-0.06;26;-26;53;-53
117.5;110.0;125.0;2.228;88;-88;2;-2;38;-38;65;-65;38;-38;0.03;-0.03;66;-66;86;-86;64;-64;47;-47;12;-12;56;-56
132.5;125.0;140.0;1.899;81;-81;7;-7;32;-32;61;-61;31;-31;44;-44;0.05;-0.05;82;-82;46;-46;0.04;-0.04;26;-26;0.06;-0.06
150.0;140.0;160.0;1.558;63;-63;8;-8;21;-21;43;-43;21;-21;28;-28;39;-39;62;-62;38;-38;27;-27;12;-12;47;-47
172.5;160.0;185.0;1.145;49;-49;13;-13;16;-16;33;-33;18;-18;29;-29;0.03;-0.03;51;-51;33;-33;22;-22;7;-7;35;-35
202.5;185.0;220.0;0.6746;0.0333;-0.0333;0.0022;-0.0022;0.0085;-0.0085;0.0256;-0.0256;0.0086;-0.0086;5;-5;0.0226;-0.0226;0.0357;-0.0357;34;-34;0.0142;-0.0142;0.0146;-0.0146;0.0205;-0.0205
250.0;220.0;280.0;0.3516;0.0182;-0.0182;0.0022;-0.0022;0.0064;-0.0064;0.0138;-0.0138;0.0059;-0.0059;0.0029;-0.0029;0.0076;-0.0076;0.0185;-0.0185;0.0103;-0.0103;0.0074;-0.0074;0.0079;-0.0079;0.0071;-0.0071
330.0;280.0;380.0;0.1407;0.0091;-0.0091;0.0003;-0.0003;0.0016;-0.0016;0.0103;-0.0103;2;-2;0.0041;-0.0041;0.0036;-0.0036;0.0067;-0.0067;0.0083;-0.0083;0.0023;-0.0023;0.0015;-0.0015;0.0024;-0.0024
490.0;380.0;600.0;0.02837;0.00286;-0.00286;1E-05;-1E-05;0.00035;-0.00035;0.00205;-0.00205;0.00043;-0.00043;0.00055;-0.00055;0.00119;-0.00119;0.0012;-0.0012;0.00192;-0.00192;0.00048;-0.00048;0.00027;-0.00027;0.00084;-0.00084
1050.0;600.0;1500.0;0.00127;0.00027;-0.00027;3E-05;-3E-05;2E-05;-2E-05;0.00026;-0.00026;4E-05;-4E-05;2E-05;-2E-05;0.00012;-0.00012;3E-05;-3E-05;8E-05;-8E-05;4E-05;-4E-05;4E-05;-4E-05;0.00012;-0.00012